Acadia	Maine 44°21′N 68°13′W﻿ / ﻿44.35°N 68.21°W﻿ / 44.35; -68.21﻿ (Acadia)	000000001919-02-26-0000February 26, 1919	Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[6][7]
American Samoa	American Samoa 14°15′S 170°41′W﻿ / ﻿14.25°S 170.68°W﻿ / -14.25; -170.68﻿ (National Park of American Samoa)	000000001988-10-31-0000October 31, 1988	The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[8]
Arches	Utah 38°41′N 109°34′W﻿ / ﻿38.68°N 109.57°W﻿ / 38.68; -109.57﻿ (Arches)	000000001971-11-12-0000November 12, 1971	This site features more than 2,000 natural sandstone arches, including the famous Delicate Arch. In a desert climate, millions of years of erosion have led to these structures, and the arid ground has life-sustaining soil crust and potholes, which serve as natural water-collecting basins. Other geologic formations are stone columns, spires, fins, and towers.[9]
Badlands	South Dakota 43°45′N 102°30′W﻿ / ﻿43.75°N 102.50°W﻿ / 43.75; -102.50﻿ (Badlands)	000000001978-11-10-0000November 10, 1978	The Badlands are a collection of buttes, pinnacles, spires, and grass prairies. It has the world's richest fossil beds from the Oligocene epoch, and the wildlife includes bison, bighorn sheep, black-footed ferrets, and swift foxes.[10]
Big Bend	Texas 29°15′N 103°15′W﻿ / ﻿29.25°N 103.25°W﻿ / 29.25; -103.25﻿ (Big Bend)	000000001944-06-12-0000June 12, 1944	Named for the prominent bend in the Rio Grande along the US–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[11]
Biscayne	Florida 25°39′N 80°05′W﻿ / ﻿25.65°N 80.08°W﻿ / 25.65; -80.08﻿ (Biscayne)	000000001980-06-28-0000June 28, 1980	Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[12]
Black Canyon of the Gunnison	Colorado 38°34′N 107°43′W﻿ / ﻿38.57°N 107.72°W﻿ / 38.57; -107.72﻿ (Black Canyon of the Gunnison)	000000001999-10-21-0000October 21, 1999	The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features incredibly steep descents, and is a popular site for river rafting and rock climbing. The deep, narrow canyon, made of gneiss and schist, is often in shadow and therefore appears black.[13]
Bryce Canyon	Utah 37°34′N 112°11′W﻿ / ﻿37.57°N 112.18°W﻿ / 37.57; -112.18﻿ (Bryce Canyon)	000000001928-02-25-0000February 25, 1928	Bryce Canyon is a giant geological amphitheater on the Paunsaugunt Plateau. The unique area has hundreds of tall sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[14]
Canyonlands	Utah 38°12′N 109°56′W﻿ / ﻿38.2°N 109.93°W﻿ / 38.2; -109.93﻿ (Canyonlands)	000000001964-09-12-0000September 12, 1964	This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. There are rock pinnacles and other naturally sculpted rock formations, as well as artifacts from Ancient Pueblo peoples.[15]
Capitol Reef	Utah 38°12′N 111°10′W﻿ / ﻿38.20°N 111.17°W﻿ / 38.20; -111.17﻿ (Capitol Reef)	000000001971-12-18-0000December 18, 1971	The park's Waterpocket Fold is a 100-mile (160&#160;km) monocline that exhibits the earth's diverse geologic layers. Other natural features are monoliths, sandstone domes, and cliffs shaped like the United States Capitol.[16]
Carlsbad Caverns	New Mexico 32°10′N 104°26′W﻿ / ﻿32.17°N 104.44°W﻿ / 32.17; -104.44﻿ (Carlsbad Caverns)	000000001930-05-14-0000May 14, 1930	Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190&#160;km) long. The Big Room is almost 4,000 feet (1,200&#160;m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[17]
Channel Islands	California 34°01′N 119°25′W﻿ / ﻿34.01°N 119.42°W﻿ / 34.01; -119.42﻿ (Channel Islands)	000000001980-03-05-0000March 5, 1980	Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Professional ferry services offer transportation to the islands from the mainland.[18]
Congaree	South Carolina 33°47′N 80°47′W﻿ / ﻿33.78°N 80.78°W﻿ / 33.78; -80.78﻿ (Congaree)	000000002003-11-10-0000November 10, 2003	On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the Eastern US. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[19]
Crater Lake	Oregon 42°56′N 122°06′W﻿ / ﻿42.94°N 122.1°W﻿ / 42.94; -122.1﻿ (Crater Lake)	000000001902-05-22-0000May 22, 1902	Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. It is the deepest lake in the United States and is famous for its vivid blue color and water clarity. There are two more recent volcanic islands in the lake, and, with no inlets or outlets, all water comes through precipitation.[20]
Cuyahoga Valley	Ohio 41°14′N 81°33′W﻿ / ﻿41.24°N 81.55°W﻿ / 41.24; -81.55﻿ (Cuyahoga Valley)	000000002000-10-11-0000October 11, 2000	This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[21] and also offers a scenic train ride.[22]
Death Valley	California, Nevada 36°14′N 116°49′W﻿ / ﻿36.24°N 116.82°W﻿ / 36.24; -116.82﻿ (Death Valley)	000000001994-10-31-0000October 31, 1994	Death Valley is the hottest, lowest, and driest place in the United States. Daytime temperatures have topped 130&#160;°F (54&#160;°C) and it is home to Badwater Basin, the lowest elevation in North America. A diversity of colorful canyons, desolate badlands, shifting sand dunes, sprawling mountains, and over 1000 species of plants populate this geologic graben. Additional points of interest include salt flats, historic mines, and springs.[23]
Denali	Alaska 63°20′N 150°30′W﻿ / ﻿63.33°N 150.50°W﻿ / 63.33; -150.50﻿ (Denali)	000000001917-02-26-0000February 26, 1917	Centered on Denali, the tallest mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, caribou, and gray wolves.[24]
Dry Tortugas	Florida 24°38′N 82°52′W﻿ / ﻿24.63°N 82.87°W﻿ / 24.63; -82.87﻿ (Dry Tortugas)	000000001992-10-26-0000October 26, 1992	The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. With most of the park being remote ocean, it is home to undisturbed coral reefs and shipwrecks and is only accessible by plane or boat.[25]
Everglades	Florida 25°19′N 80°56′W﻿ / ﻿25.32°N 80.93°W﻿ / 25.32; -80.93﻿ (Everglades)	000000001934-05-30-0000May 30, 1934	The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[26]
Gates of the Arctic	Alaska 67°47′N 153°18′W﻿ / ﻿67.78°N 153.30°W﻿ / 67.78; -153.30﻿ (Gates of the Arctic)	000000001980-12-02-0000December 2, 1980	The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska natives, who have relied on the land and caribou for 11,000 years.[27]
Glacier	Montana 48°48′N 114°00′W﻿ / ﻿48.80°N 114.00°W﻿ / 48.80; -114.00﻿ (Glacier)	000000001910-05-11-0000May 11, 1910	The U.S. half of Waterton-Glacier International Peace Park, this park hosts 26 glaciers and 130 named lakes beneath a stunning canopy of Rocky Mountain peaks. There are historic hotels and a landmark road in this region of rapidly receding glaciers. The local mountains, formed by an overthrust, expose the world's best-preserved sedimentary fossils from the Proterozoic era.[28]
Glacier Bay	Alaska 58°30′N 137°00′W﻿ / ﻿58.50°N 137.00°W﻿ / 58.50; -137.00﻿ (Glacier Bay)	000000001980-12-02-0000December 2, 1980	Glacier Bay has numerous tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered in ice, but the glaciers have since receded more than 65 miles (105&#160;km).[29]
Grand Canyon	Arizona 36°04′N 112°08′W﻿ / ﻿36.06°N 112.14°W﻿ / 36.06; -112.14﻿ (Grand Canyon)	000000001919-02-26-0000February 26, 1919	The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446&#160;km) long, up to 1 mile (1.6&#160;km) deep, and up to 15 miles (24&#160;km) wide. Millions of years of erosion have exposed the colorful layers of the Colorado Plateau in countless mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.[30]
Grand Teton	Wyoming 43°44′N 110°48′W﻿ / ﻿43.73°N 110.80°W﻿ / 43.73; -110.80﻿ (Grand Teton)	000000001929-02-26-0000February 26, 1929	Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with unique wildlife and contrast with the dramatic mountains, which rise abruptly from the sage-covered valley below.[31]
Great Basin	Nevada 38°59′N 114°18′W﻿ / ﻿38.98°N 114.30°W﻿ / 38.98; -114.30﻿ (Great Basin)	000000001986-10-27-0000October 27, 1986	Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. It also enjoys some of the country's darkest night skies. Animals which call the park home include Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[32]
